Price,Close,Volume,Adj_Close,Returns,MA_7,MA_30,RSI,Volatility
Ticker,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,
1981-08-07,0.11272300034761429,9206400,0.08633086830377579,0.0,0.08590349342141833,0.0849917950729529,56.7161697493882,0.032729544770752336
1981-08-10,0.11272300034761429,0,0.08633086830377579,0.0,0.08620875009468623,0.08455017184217771,57.57545821439223,0.03255039795867146
1981-08-11,0.109375,71456000,0.08376670628786087,-0.02970156638402266,0.08596454880067281,0.08413703615466754,62.29623875519156,0.03216329738862234
1981-08-12,0.10714299976825714,26275200,0.08205729722976685,-0.020406783719294275,0.08559823994125638,0.08390911494692167,55.00004649151762,0.03200479714190895
1981-08-13,0.10379499942064285,27484800,0.07949316501617432,-0.031248070557488128,0.08468248162950788,0.0836242119471232,44.99995350848238,0.032107494018439764
1981-08-14,0.10212100297212601,24192000,0.07821112126111984,-0.01612772311674371,0.08321727067232132,0.0832965741554896,34.54539979300692,0.030925850104706387
1981-08-17,0.09877199679613113,18905600,0.07564623653888702,-0.03279437349669945,0.08169089470590864,0.08298315654198328,35.183958365618054,0.028105868094727503
1981-08-18,0.09653999656438828,17001600,0.0739368200302124,-0.022597508969211866,0.07992031638111387,0.08258426810304324,34.54425003169773,0.02841441336454503
1981-08-19,0.09542399644851685,20675200,0.07308213412761688,-0.011559678956253094,0.07802764007023402,0.08204292804002762,23.99901673811587,0.02567660571280255
1981-08-20,0.09653999656438828,17113600,0.0739368200302124,0.011694867874316062,0.07662337060485568,0.08175800045331319,22.448006614849405,0.024927785907391305
1981-08-21,0.0898440033197403,41910400,0.06880855560302734,-0.06936008912865776,0.07473069322960717,0.08151583299040795,18.643299529584183,0.027515894304267235
1981-08-24,0.08426299691200256,23072000,0.06453423202037811,-0.06211907146124096,0.07259370280163628,0.08107418244083722,12.120492537892972,0.027362592174747558
1981-08-25,0.08649600297212601,40700800,0.0662444457411766,0.02650087662402889,0.07088417772735868,0.08057557741800944,9.377048858822235,0.02827095124030093
1981-08-26,0.08482100069522858,33600000,0.06496162712574005,-0.01936492336955542,0.06935780495405197,0.07996298695604007,9.679216991537814,0.02831958562819449
1981-08-27,0.08537899702787399,25916800,0.06538895517587662,0.006578161124404014,0.06813668140343257,0.07929341495037079,11.112629897764137,0.02638799052239155
1981-08-28,0.0898440033197403,38035200,0.06880855560302734,0.05229630016190079,0.06752617018563407,0.07863811353842418,21.129093361178718,0.029531968818682842
1981-08-31,0.0898440033197403,40947200,0.06880855560302734,0.0,0.06679356098175049,0.07818224380413691,23.079233568019404,0.029623043065285546
